"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","show_movies 4","connected_by","rank_user","rank_user href"
",  Group C","2022-06-28 20:00","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Bir El Djir Sports Hall, Oran","https://women.volleybox.net/tr/bir-el-djir-sports-hall-a4463/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","İspanya","https://women.volleybox.net/tr/turkey-spain-c117861","","","","","","","2 yıl önce önce  tarafından eklendi","B…2",""
",  3rd round - Group A","2022-06-29 05:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Chief Jim Starlight Centre, Calgary","https://women.volleybox.net/tr/chief-jim-starlight-centre-a1457/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/canada-turkey-c100390","71","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256512233","1","4","","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  quarterfinal","2022-06-30 21:00","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Bir El Djir Sports Hall, Oran","https://women.volleybox.net/tr/bir-el-djir-sports-hall-a4463/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/tunisia-t1228/matches","https://volleybox.net/media/img/light-px.png","Tunus","https://women.volleybox.net/tr/turkey-tunisia-c118392","","","","","","","2 yıl önce önce  tarafından eklendi","B…2",""
",  3rd round - Group A","2022-06-30 23:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Chief Jim Starlight Centre, Calgary","https://women.volleybox.net/tr/chief-jim-starlight-centre-a1457/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/turkey-netherlands-c100392","66","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256512862","1","3","","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  3rd round - Group A","2022-07-02 02:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Chief Jim Starlight Centre, Calgary","https://women.volleybox.net/tr/chief-jim-starlight-centre-a1457/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/turkey-japan-c100397","67","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256513512","2","5","","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  semi-final","2022-07-02 12:00","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Hammou Boutlèlis Sports Palace, Oran","https://women.volleybox.net/tr/hammou-boutlelis-sports-palace-a4464/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/serbia-turkey-c118722","","","","1","","","2 yıl önce önce  tarafından eklendi","B…2",""
",  3rd round - Group A","2022-07-02 23:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Chief Jim Starlight Centre, Calgary","https://women.volleybox.net/tr/chief-jim-starlight-centre-a1457/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/turkey-usa-c100399","68","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256513897","1","5","","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  final","2022-07-04 18:30","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Hammou Boutlèlis Sports Palace, Oran","https://women.volleybox.net/tr/hammou-boutlelis-sports-palace-a4464/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/turkey-italy-c119052","","","","1","","","2 yıl önce önce  tarafından eklendi","B…2",""
",  quarterfinal","2022-07-14 18:30","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/turkey-thailand-c120442","57","","","2","2","4","2 yıl önce önce  tarafından eklendi","",""
",  semi-final","2022-07-16 18:30","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/turkey-italy-c120897","52","","","2","2","5","2 yıl önce önce  tarafından eklendi","",""
",  3rd place match","2022-07-17 15:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/turkey-serbia-c121278","36","","","2","4","5","2 yıl önce önce  tarafından eklendi","Hellnan","https://women.volleybox.net/tr/user/_hellnan_"
