"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_predictions","show_movies 2","show_movies href"
",  Group J","2019-06-05 22:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Pinnacle Bank Arena, Lincoln","https://women.volleybox.net/tr/pinnacle-bank-arena-a1426/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/usa-germany-c15980","6 yıl önce önce  tarafından eklendi","S…k","17","",""
",  Group J","2019-06-06 19:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Pinnacle Bank Arena, Lincoln","https://women.volleybox.net/tr/pinnacle-bank-arena-a1426/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/south-korea-germany-c15981","6 yıl önce önce  tarafından eklendi","S…k","17","",""
",  Group N","2019-06-11 16:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Porsche Arena, Stuttgart","https://women.volleybox.net/tr/porsche-arena-a131/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/germany-dominican-republic-c16002","6 yıl önce önce  tarafından eklendi","S…k","18","",""
",  Group N","2019-06-12 16:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Porsche Arena, Stuttgart","https://women.volleybox.net/tr/porsche-arena-a131/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/germany-belgium-c16004","6 yıl önce önce  tarafından eklendi","S…k","17","",""
",  Group N","2019-06-13 16:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Porsche Arena, Stuttgart","https://women.volleybox.net/tr/porsche-arena-a131/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/germany-netherlands-c16006","6 yıl önce önce  tarafından eklendi","S…k","18","",""
",  Group R","2019-06-18 14:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/china-germany-c16026","6 yıl önce önce  tarafından eklendi","S…k","21","",""
",  Group R","2019-06-19 05:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/serbia-germany-c16027","6 yıl önce önce  tarafından eklendi","S…k","19","",""
",  Group R","2019-06-20 10:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/germany-bulgaria-c16029","6 yıl önce önce  tarafından eklendi","S…k","17","",""
",  Group B","2019-07-05 18:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaCoscioni, Nocera","https://women.volleybox.net/tr/palacoscioni-a1368/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","Ukrayna","https://women.volleybox.net/tr/germany-ukraine-c16608","5 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group B","2019-07-06 21:00","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaTedeschi, Benevento","https://women.volleybox.net/tr/palatedeschi-a1369/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/brazil-germany-c16628","5 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group B","2019-07-07 21:00","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaTedeschi, Benevento","https://women.volleybox.net/tr/palatedeschi-a1369/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/germany-china-c16644","5 yıl önce önce  tarafından eklendi","S…k","","",""
",  quarterfinal","2019-07-09 15:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaSele, Eboli","https://women.volleybox.net/tr/palasele-a1046/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/japan-germany-c16700","5 yıl önce önce  tarafından eklendi","S…k","","",""
",  5-8 places","2019-07-10 13:00","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaSele, Eboli","https://women.volleybox.net/tr/palasele-a1046/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/czech-republic-germany-c16712","5 yıl önce önce  tarafından eklendi","S…k","","",""
",  5th place match","2019-07-11 15:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaCoscioni, Nocera","https://women.volleybox.net/tr/palacoscioni-a1368/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/germany-brazil-c16807","5 yıl önce önce  tarafından eklendi","S…k","","",""
",  Group D","2019-08-23 16:30","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Zimný štadión Ondreja Nepelu, Bratislava","https://women.volleybox.net/tr/zimny-stadion-ondreja-nepelu-a9323/matches","İsviçre","https://women.volleybox.net/tr/switzerland-t1201/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/switzerland-germany-c14183","6 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32181"
",  Group D","2019-08-24 19:30","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Zimný štadión Ondreja Nepelu, Bratislava","https://women.volleybox.net/tr/zimny-stadion-ondreja-nepelu-a9323/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","İspanya","https://women.volleybox.net/tr/germany-spain-c14188","6 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32184"
",  Group D","2019-08-26 19:30","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Zimný štadión Ondreja Nepelu, Bratislava","https://women.volleybox.net/tr/zimny-stadion-ondreja-nepelu-a9323/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/germany-russia-c14206","6 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32188"
",  Group D","2019-08-27 22:00","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Zimný štadión Ondreja Nepelu, Bratislava","https://women.volleybox.net/tr/zimny-stadion-ondreja-nepelu-a9323/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/img/light-px.png","Slovakya","https://women.volleybox.net/tr/germany-slovakia-c14209","6 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32191"
",  Group D","2019-08-28 16:00","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Zimný štadión Ondreja Nepelu, Bratislava","https://women.volleybox.net/tr/zimny-stadion-ondreja-nepelu-a9323/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","Belarus","https://women.volleybox.net/tr/germany-belarus-c14211","6 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32193"
",  1/8 round","2019-09-01 19:00","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/slovenia-t1174/matches","https://volleybox.net/media/img/light-px.png","Slovenya","https://women.volleybox.net/tr/germany-slovenia-c19192","5 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=36908"
",  quarterfinal","2019-09-04 21:30","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/poland-germany-c19287","5 yıl önce önce  tarafından eklendi","","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=36917"
