"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_newbie","rank_newbie href","rank_user","rank_user href","show_movies","show_movies href","show_movies 2"
",  Group L","2015-07-10 15:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Estadio Cincuentenario, Formosa","https://women.volleybox.net/tr/estadio-cincuentenario-a12/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/poland-netherlands-c63129","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-013.pdf",""
",  Group L","2015-07-11 18:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Estadio Cincuentenario, Formosa","https://women.volleybox.net/tr/estadio-cincuentenario-a12/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/argentina-netherlands-c63132","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-016.pdf",""
",  Group L","2015-07-12 15:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Estadio Cincuentenario, Formosa","https://women.volleybox.net/tr/estadio-cincuentenario-a12/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/netherlands-canada-c63133","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-017.pdf",""
",  Group 2 - semi-final","2015-08-01 01:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Globus, Lublin","https://women.volleybox.net/tr/globus-a543/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/netherlands-czech-republic-c630","9 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-025.pdf","2"
",  Final (Group 2)","2015-08-02 14:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Globus, Lublin","https://women.volleybox.net/tr/globus-a543/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/netherlands-poland-c63172","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-028.pdf",""
",  1st match","2015-08-28 22:00","International Cup 2015","https://women.volleybox.net/tr/women-international-cup-2015-o3902/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/bulgaria-netherlands-c23173","5 yıl önce önce  tarafından eklendi","","","Pedro Henrique Torres","https://women.volleybox.net/tr/user/phtorres","","",""
",  4th match","2015-08-30","International Cup 2015","https://women.volleybox.net/tr/women-international-cup-2015-o3902/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/netherlands-germany-c23176","5 yıl önce önce  tarafından eklendi","","","Pedro Henrique Torres","https://women.volleybox.net/tr/user/phtorres","","",""
",  6th match","2015-08-30 17:30","International Cup 2015","https://women.volleybox.net/tr/women-international-cup-2015-o3902/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/brazil-netherlands-c23178","5 yıl önce önce  tarafından eklendi","","","Pedro Henrique Torres","https://women.volleybox.net/tr/user/phtorres","","","1"
",  Group A","2015-09-26 16:30","Avrupa Şampiyonası 2015","https://women.volleybox.net/tr/women-european-championships-2015-o927/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Slovenya","https://women.volleybox.net/tr/slovenia-t1174/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/slovenia-netherlands-c894","9 yıl önce önce  tarafından eklendi","","","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  Group A","2015-09-27 16:30","Avrupa Şampiyonası 2015","https://women.volleybox.net/tr/women-european-championships-2015-o927/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/netherlands-poland-c902","9 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16","","",""
",  Group A","2015-09-28 21:00","Avrupa Şampiyonası 2015","https://women.volleybox.net/tr/women-european-championships-2015-o927/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/netherlands-italy-c905","9 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16","","",""
",  quarterfinal","2015-10-01 21:00","Avrupa Şampiyonası 2015","https://women.volleybox.net/tr/women-european-championships-2015-o927/matches","Ahoy, Rotterdam","https://women.volleybox.net/tr/ahoy-a302/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/netherlands-poland-c932","9 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16","","","2"
",  semi-final","2015-10-03 16:30","Avrupa Şampiyonası 2015","https://women.volleybox.net/tr/women-european-championships-2015-o927/matches","Ahoy, Rotterdam","https://women.volleybox.net/tr/ahoy-a302/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/netherlands-turkey-c937","9 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16","","","2"
",  final","2015-10-04 18:00","Avrupa Şampiyonası 2015","https://women.volleybox.net/tr/women-european-championships-2015-o927/matches","Ahoy, Rotterdam","https://women.volleybox.net/tr/ahoy-a302/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/netherlands-russia-c942","9 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16","","","4"
