"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","rank_user href"
",  quarterfinal","2022-06-30 12:00","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Bir El Djir Sports Hall, Oran","https://women.volleybox.net/tr/bir-el-djir-sports-hall-a4463/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/egypt-t811/matches","https://volleybox.net/media/img/light-px.png","Mısır","https://women.volleybox.net/tr/serbia-egypt-c118389","","","","1","1","2 yıl önce önce  tarafından eklendi","B…2",""
",  3rd round - Group A","2022-07-01 05:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Chief Jim Starlight Centre, Calgary","https://women.volleybox.net/tr/chief-jim-starlight-centre-a1457/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/usa-serbia-c100395","65","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256512907","1","3","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  3rd round - Group A","2022-07-02 05:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Chief Jim Starlight Centre, Calgary","https://women.volleybox.net/tr/chief-jim-starlight-centre-a1457/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/serbia-canada-c100398","65","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256513513","1","","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  semi-final","2022-07-02 12:00","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Hammou Boutlèlis Sports Palace, Oran","https://women.volleybox.net/tr/hammou-boutlelis-sports-palace-a4464/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/serbia-turkey-c118722","","","","1","","2 yıl önce önce  tarafından eklendi","B…2",""
",  3rd round - Group A","2022-07-03 02:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Chief Jim Starlight Centre, Calgary","https://women.volleybox.net/tr/chief-jim-starlight-centre-a1457/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/japan-serbia-c100400","65","1","https://women.volleybox.net/tr/frame/match_report/0/17299","1","2","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  3rd place match","2022-07-04 11:30","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Hammou Boutlèlis Sports Palace, Oran","https://women.volleybox.net/tr/hammou-boutlelis-sports-palace-a4464/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","İspanya","https://women.volleybox.net/tr/serbia-spain-c119051","","","","","","2 yıl önce önce  tarafından eklendi","B…2",""
",  quarterfinal","2022-07-13 18:30","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/usa-serbia-c120440","48","7","","1","2","2 yıl önce önce  tarafından eklendi","",""
",  semi-final","2022-07-16 15:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/serbia-brazil-c120896","50","5","","2","3","2 yıl önce önce  tarafından eklendi","",""
",  3rd place match","2022-07-17 15:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/turkey-serbia-c121278","36","5","","2","4","2 yıl önce önce  tarafından eklendi","Hellnan","https://women.volleybox.net/tr/user/_hellnan_"
",  Group C","2022-09-25 21:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/serbia-canada-c113249","143","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256540429","2","4","3 yıl önce önce  tarafından eklendi","I…Y",""
