"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","connected_by","rank_admin","rank_admin href","rank_user","rank_user href"
",  Group B","2018-08-25 08:30","Asya Oyunları 2018","https://women.volleybox.net/tr/women-asian-games-2018-o6019/matches","Gelora Bung Karno Indoor Stadium, Jakarta","https://women.volleybox.net/tr/gelora-bung-karno-indoor-stadium-a1095/matches","Vietnam","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/vietnam-south-korea-c10760","","6 yıl önce önce  tarafından eklendi","","","Airton Neto","https://women.volleybox.net/tr/user/airton13"
",  Group B","2018-08-27 15:00","Asya Oyunları 2018","https://women.volleybox.net/tr/women-asian-games-2018-o6019/matches","Gelora Bung Karno Indoor Stadium, Jakarta","https://women.volleybox.net/tr/gelora-bung-karno-indoor-stadium-a1095/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/chinese-taipei-south-korea-c10765","","6 yıl önce önce  tarafından eklendi","","","Airton Neto","https://women.volleybox.net/tr/user/airton13"
",  quarterfinal","2018-08-29 07:30","Asya Oyunları 2018","https://women.volleybox.net/tr/women-asian-games-2018-o6019/matches","Gelora Bung Karno Indoor Stadium, Jakarta","https://women.volleybox.net/tr/gelora-bung-karno-indoor-stadium-a1095/matches","Endonezya","https://women.volleybox.net/tr/indonesia-t907/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/indonesia-south-korea-c10843","","6 yıl önce önce  tarafından eklendi","","","Airton Neto","https://women.volleybox.net/tr/user/airton13"
",  semi-final","2018-08-31 13:00","Asya Oyunları 2018","https://women.volleybox.net/tr/women-asian-games-2018-o6019/matches","Gelora Bung Karno Indoor Stadium, Jakarta","https://women.volleybox.net/tr/gelora-bung-karno-indoor-stadium-a1095/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/thailand-south-korea-c10849","1","6 yıl önce önce  tarafından eklendi","","","Airton Neto","https://women.volleybox.net/tr/user/airton13"
",  3rd place match","2018-09-01 06:00","Asya Oyunları 2018","https://women.volleybox.net/tr/women-asian-games-2018-o6019/matches","Gelora Bung Karno Indoor Stadium, Jakarta","https://women.volleybox.net/tr/gelora-bung-karno-indoor-stadium-a1095/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/south-korea-japan-c10941","2","6 yıl önce önce  tarafından eklendi","","","Airton Neto","https://women.volleybox.net/tr/user/airton13"
",  Group A","2018-09-16 10:30","AVC Cup 2018","https://women.volleybox.net/tr/women-avc-cup-2018-o4335/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/japan-south-korea-c10995","","6 yıl önce önce  tarafından eklendi","","","Airton Neto","https://women.volleybox.net/tr/user/airton13"
",  Group A","2018-09-18 15:30","AVC Cup 2018","https://women.volleybox.net/tr/women-avc-cup-2018-o4335/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/south-korea-thailand-c10997","","6 yıl önce önce  tarafından eklendi","","","Airton Neto","https://women.volleybox.net/tr/user/airton13"
",  quarterfinal","2018-09-19 09:30","AVC Cup 2018","https://women.volleybox.net/tr/women-avc-cup-2018-o4335/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","Çin Taipei","https://women.volleybox.net/tr/south-korea-chinese-taipei-c11033","","6 yıl önce önce  tarafından eklendi","","","Airton Neto","https://women.volleybox.net/tr/user/airton13"
",  5-12 places","2018-09-21 09:30","AVC Cup 2018","https://women.volleybox.net/tr/women-avc-cup-2018-o4335/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Filipinler","https://women.volleybox.net/tr/philippines-t1111/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/philippines-south-korea-c11063","","6 yıl önce önce  tarafından eklendi","","","Airton Neto","https://women.volleybox.net/tr/user/airton13"
",  5-8 places","2018-09-22 14:30","AVC Cup 2018","https://women.volleybox.net/tr/women-avc-cup-2018-o4335/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/iran-t910/matches","https://volleybox.net/media/img/light-px.png","İran","https://women.volleybox.net/tr/south-korea-iran-c11067","","6 yıl önce önce  tarafından eklendi","","","Airton Neto","https://women.volleybox.net/tr/user/airton13"
",  5th place match","2018-09-23 09:30","AVC Cup 2018","https://women.volleybox.net/tr/women-avc-cup-2018-o4335/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Vietnam","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/vietnam-south-korea-c11070","","6 yıl önce önce  tarafından eklendi","","","Airton Neto","https://women.volleybox.net/tr/user/airton13"
",  Group C","2018-09-29 13:20","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Green Arena Kobe, Kobe City Hyogo","https://women.volleybox.net/tr/green-arena-kobe-a811/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/south-korea-thailand-c9742","1","7 yıl önce önce  tarafından eklendi","","","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group C","2018-09-30 10:10","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Green Arena Kobe, Kobe City Hyogo","https://women.volleybox.net/tr/green-arena-kobe-a811/matches","Azerbaycan","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/azerbaijan-south-korea-c9750","1","7 yıl önce önce  tarafından eklendi","","","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group C","2018-10-02 13:20","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Green Arena Kobe, Kobe City Hyogo","https://women.volleybox.net/tr/green-arena-kobe-a811/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/usa-south-korea-c9767","2","7 yıl önce önce  tarafından eklendi","","","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group C","2018-10-03 10:10","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Green Arena Kobe, Kobe City Hyogo","https://women.volleybox.net/tr/green-arena-kobe-a811/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/south-korea-russia-c9778","1","7 yıl önce önce  tarafından eklendi","","","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
",  Group C","2018-10-04 07:40","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Green Arena Kobe, Kobe City Hyogo","https://women.volleybox.net/tr/green-arena-kobe-a811/matches","Trinidad ve Tobago","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/trinidad-and-tobago-south-korea-c9786","1","7 yıl önce önce  tarafından eklendi","","","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes"
