Date,Team1,Team2,Score,MatchResult,Score1,Score2,Team1_last5_win_rate,Team1_last5_avg_score,Team1_last5_avg_concede,MatchResult2,Team2_last5_win_rate,Team2_last5_avg_score,Team2_last5_avg_concede,h2h_team1_win_rate
2021-06-12 11:00:00,Rusya,Güney Kore,3:0,1,3,0,0.4,2.2,2.0,0,0.2,1.2,2.6,0.7777777777777778
2021-06-12 13:00:00,Tayland,Almanya,3:1,1,3,1,0.2,0.8,2.6,0,0.4,2.0,2.4,0.6
2021-06-12 14:00:00,Japonya,Türkiye,3:1,1,3,1,0.6,1.8,1.6,0,1.0,3.0,0.8,0.4
2021-06-12 16:00:00,Amerika Birleşik Devletleri,Belçika,3:0,1,3,0,1.0,3.0,0.0,0,0.2,1.2,2.8,1.0
2021-06-12 17:00:00,Çin,Hollanda,3:0,1,3,0,0.2,1.6,2.8,0,0.8,2.4,1.0,0.75
2021-06-12 19:00:00,Kanada,Sırbistan,3:1,1,3,1,0.0,1.0,3.0,0,0.2,1.6,2.6,
2021-06-12 20:00:00,Dominik Cumhuriyeti,İtalya,3:1,1,3,1,0.6,2.2,1.6,0,0.2,1.0,2.4,0.16666666666666666
2021-06-12 22:00:00,Polonya,Brezilya,0:3,2,0,3,0.4,2.0,2.0,1,0.6,2.4,1.6,0.3333333333333333
2021-06-13 11:00:00,Türkiye,Belçika,3:0,1,3,0,0.8,2.6,1.2,0,0.2,0.8,2.8,0.7
2021-06-13 13:00:00,Amerika Birleşik Devletleri,Japonya,3:0,1,3,0,1.0,3.0,0.0,0,0.8,2.4,1.0,0.9090909090909091
2021-06-13 14:00:00,İtalya,Hollanda,2:3,2,2,3,0.4,2.2,2.0,1,0.6,1.8,1.6,0.3333333333333333
2021-06-13 16:00:00,Dominik Cumhuriyeti,Çin,1:3,2,1,3,0.6,2.2,1.4,1,0.8,2.4,1.0,0.0
2021-06-13 17:35:00,Rusya,Kanada,3:0,1,3,0,0.6,2.4,1.4,0,0.6,2.0,1.8,1.0
2021-06-13 19:00:00,Güney Kore,Sırbistan,3:1,1,3,1,0.4,1.2,2.0,0,0.2,1.4,2.6,0.25
2021-06-13 20:30:00,Tayland,Polonya,0:3,2,0,3,0.2,0.8,2.6,1,0.4,2.2,2.2,0.2
2021-06-13 22:00:00,Almanya,Brezilya,1:3,2,1,3,0.4,1.2,1.8,1,0.8,2.8,1.0,0.5
2021-06-14 11:00:00,Belçika,Japonya,1:3,2,1,3,0.8,2.4,2.2,1,0.6,1.8,1.6,0.5
2021-06-14 13:00:00,Rusya,Sırbistan,3:0,1,3,0,0.8,2.6,0.8,0,0.2,1.4,2.6,0.36363636363636365
2021-06-14 14:00:00,Hollanda,Dominik Cumhuriyeti,1:3,2,1,3,0.6,2.4,1.6,1,0.8,2.8,1.2,0.8571428571428571
2021-06-14 16:00:00,Almanya,Polonya,3:0,1,3,0,0.2,0.8,2.4,0,0.6,2.6,1.6,0.0
2021-06-14 17:00:00,Çin,İtalya,3:0,1,3,0,0.4,1.8,2.2,0,0.2,1.2,2.4,0.4666666666666667
2021-06-14 19:00:00,Güney Kore,Kanada,3:2,1,3,2,0.4,1.2,2.2,0,0.4,1.4,2.2,
2021-06-14 20:30:00,Brezilya,Tayland,3:0,1,3,0,0.8,2.6,0.8,0,0.0,0.4,3.0,0.8571428571428571
2021-06-14 22:00:00,Amerika Birleşik Devletleri,Türkiye,3:1,1,3,1,1.0,3.0,0.0,0,0.8,2.6,1.2,0.7272727272727273
2021-06-18 11:00:00,Almanya,Sırbistan,3:0,1,3,0,0.4,1.4,1.8,0,0.2,1.4,2.6,0.3333333333333333
2021-06-18 13:00:00,Japonya,Dominik Cumhuriyeti,3:2,1,3,2,0.8,2.4,1.2,0,0.8,2.8,1.2,0.75
2021-06-18 14:00:00,Tayland,Belçika,1:3,2,1,3,0.2,0.6,2.6,1,0.2,0.6,2.8,0.3333333333333333
2021-06-18 16:00:00,Güney Kore,Brezilya,0:3,2,0,3,0.4,1.2,2.4,1,0.8,2.8,1.0,0.2
